signal_date,main_strategy_target,expanded_strategy_target,state,expanded_target_is_new_etf,combined_target_count
2022-12-27,513200.SH,513200.SH,same_etf,False,1
2022-12-28,513200.SH,513200.SH,same_etf,False,1
2022-12-29,513200.SH,513200.SH,same_etf,False,1
2022-12-30,513200.SH,513200.SH,same_etf,False,1
2023-01-03,513200.SH,513200.SH,same_etf,False,1
2023-01-04,513200.SH,513200.SH,same_etf,False,1
2023-01-05,513200.SH,513200.SH,same_etf,False,1
2023-01-06,513200.SH,513200.SH,same_etf,False,1
2023-01-09,513200.SH,513200.SH,same_etf,False,1
2023-01-10,513200.SH,513200.SH,same_etf,False,1
2023-01-11,513200.SH,513200.SH,same_etf,False,1
2023-01-12,513200.SH,513200.SH,same_etf,False,1
2023-01-13,513200.SH,513200.SH,same_etf,False,1
2023-01-16,513200.SH,513200.SH,same_etf,False,1
2023-01-17,513200.SH,513200.SH,same_etf,False,1
2023-01-18,513200.SH,513200.SH,same_etf,False,1
2023-01-19,513200.SH,513200.SH,same_etf,False,1
2023-01-20,513200.SH,513200.SH,same_etf,False,1
2023-01-30,513200.SH,513200.SH,same_etf,False,1
2023-01-31,CASH,CASH,both_cash,False,0
2023-02-01,CASH,CASH,both_cash,False,0
2023-02-02,CASH,CASH,both_cash,False,0
2023-02-03,CASH,CASH,both_cash,False,0
2023-02-06,CASH,CASH,both_cash,False,0
2023-02-07,CASH,CASH,both_cash,False,0
2023-02-08,512690.SH,512690.SH,same_etf,False,1
2023-02-09,512690.SH,512690.SH,same_etf,False,1
2023-02-10,512690.SH,512690.SH,same_etf,False,1
2023-02-13,512690.SH,512690.SH,same_etf,False,1
2023-02-14,512690.SH,512690.SH,same_etf,False,1
2023-02-15,512690.SH,512690.SH,same_etf,False,1
2023-02-16,512690.SH,512690.SH,same_etf,False,1
2023-02-17,512690.SH,512690.SH,same_etf,False,1
2023-02-20,512690.SH,512690.SH,same_etf,False,1
2023-02-21,512690.SH,512690.SH,same_etf,False,1
2023-02-22,512690.SH,512690.SH,same_etf,False,1
2023-02-23,512690.SH,512690.SH,same_etf,False,1
2023-02-24,512690.SH,512690.SH,same_etf,False,1
2023-02-27,512690.SH,512690.SH,same_etf,False,1
2023-02-28,512690.SH,512690.SH,same_etf,False,1
2023-03-01,512690.SH,512690.SH,same_etf,False,1
2023-03-02,512690.SH,512690.SH,same_etf,False,1
2023-03-03,512690.SH,512690.SH,same_etf,False,1
2023-03-06,512690.SH,512690.SH,same_etf,False,1
2023-03-07,512690.SH,512690.SH,same_etf,False,1
2023-03-08,CASH,CASH,both_cash,False,0
2023-03-09,CASH,CASH,both_cash,False,0
2023-03-10,CASH,CASH,both_cash,False,0
2023-03-13,CASH,CASH,both_cash,False,0
2023-03-14,CASH,CASH,both_cash,False,0
2023-03-15,CASH,CASH,both_cash,False,0
2023-03-16,CASH,CASH,both_cash,False,0
2023-03-17,CASH,CASH,both_cash,False,0
2023-03-20,CASH,CASH,both_cash,False,0
2023-03-21,CASH,CASH,both_cash,False,0
2023-03-22,CASH,CASH,both_cash,False,0
2023-03-23,CASH,CASH,both_cash,False,0
2023-03-24,CASH,CASH,both_cash,False,0
2023-03-27,CASH,CASH,both_cash,False,0
2023-03-28,CASH,CASH,both_cash,False,0
2023-03-29,CASH,CASH,both_cash,False,0
2023-03-30,CASH,CASH,both_cash,False,0
2023-03-31,CASH,CASH,both_cash,False,0
2023-04-03,CASH,CASH,both_cash,False,0
2023-04-04,CASH,CASH,both_cash,False,0
2023-04-06,CASH,CASH,both_cash,False,0
2023-04-07,CASH,CASH,both_cash,False,0
2023-04-10,CASH,CASH,both_cash,False,0
2023-04-11,CASH,CASH,both_cash,False,0
2023-04-12,CASH,CASH,both_cash,False,0
2023-04-13,CASH,CASH,both_cash,False,0
2023-04-14,CASH,CASH,both_cash,False,0
2023-04-17,CASH,CASH,both_cash,False,0
2023-04-18,CASH,CASH,both_cash,False,0
2023-04-19,CASH,CASH,both_cash,False,0
2023-04-20,CASH,CASH,both_cash,False,0
2023-04-21,CASH,CASH,both_cash,False,0
2023-04-24,CASH,CASH,both_cash,False,0
2023-04-25,CASH,CASH,both_cash,False,0
2023-04-26,CASH,CASH,both_cash,False,0
2023-04-27,CASH,CASH,both_cash,False,0
2023-04-28,510880.SH,510880.SH,same_etf,False,1
2023-05-04,510880.SH,510880.SH,same_etf,False,1
2023-05-05,510880.SH,510880.SH,same_etf,False,1
2023-05-08,510880.SH,510880.SH,same_etf,False,1
2023-05-09,510880.SH,510880.SH,same_etf,False,1
2023-05-10,510880.SH,510880.SH,same_etf,False,1
2023-05-11,510880.SH,510880.SH,same_etf,False,1
2023-05-12,510880.SH,510880.SH,same_etf,False,1
2023-05-15,510880.SH,510880.SH,same_etf,False,1
2023-05-16,510880.SH,510880.SH,same_etf,False,1
2023-05-17,510880.SH,510880.SH,same_etf,False,1
2023-05-18,510880.SH,510880.SH,same_etf,False,1
2023-05-19,510880.SH,510880.SH,same_etf,False,1
2023-05-22,510880.SH,510880.SH,same_etf,False,1
2023-05-23,510880.SH,510880.SH,same_etf,False,1
2023-05-24,CASH,CASH,both_cash,False,0
2023-05-25,CASH,CASH,both_cash,False,0
2023-05-26,CASH,CASH,both_cash,False,0
2023-05-29,CASH,CASH,both_cash,False,0
2023-05-30,513500.SH,513500.SH,same_etf,False,1
2023-05-31,513500.SH,513500.SH,same_etf,False,1
2023-06-01,513500.SH,513500.SH,same_etf,False,1
2023-06-02,513500.SH,513500.SH,same_etf,False,1
2023-06-05,513500.SH,513500.SH,same_etf,False,1
2023-06-06,513500.SH,513500.SH,same_etf,False,1
2023-06-07,513500.SH,513500.SH,same_etf,False,1
2023-06-08,513500.SH,513500.SH,same_etf,False,1
2023-06-09,513500.SH,513500.SH,same_etf,False,1
2023-06-12,513500.SH,513500.SH,same_etf,False,1
2023-06-13,513500.SH,513500.SH,same_etf,False,1
2023-06-14,513500.SH,513500.SH,same_etf,False,1
2023-06-15,513500.SH,513500.SH,same_etf,False,1
2023-06-16,513500.SH,513500.SH,same_etf,False,1
2023-06-19,513500.SH,513500.SH,same_etf,False,1
2023-06-20,CASH,CASH,both_cash,False,0
2023-06-21,CASH,CASH,both_cash,False,0
2023-06-26,CASH,CASH,both_cash,False,0
2023-06-27,CASH,CASH,both_cash,False,0
2023-06-28,CASH,CASH,both_cash,False,0
2023-06-29,CASH,CASH,both_cash,False,0
2023-06-30,CASH,CASH,both_cash,False,0
2023-07-03,CASH,CASH,both_cash,False,0
2023-07-04,CASH,CASH,both_cash,False,0
2023-07-05,159985.SZ,159985.SZ,same_etf,False,1
2023-07-06,159985.SZ,159985.SZ,same_etf,False,1
2023-07-07,159985.SZ,159985.SZ,same_etf,False,1
2023-07-10,159985.SZ,159985.SZ,same_etf,False,1
2023-07-11,159985.SZ,159985.SZ,same_etf,False,1
2023-07-12,159985.SZ,159985.SZ,same_etf,False,1
2023-07-13,159985.SZ,159985.SZ,same_etf,False,1
2023-07-14,159985.SZ,159985.SZ,same_etf,False,1
2023-07-17,159985.SZ,159985.SZ,same_etf,False,1
2023-07-18,159985.SZ,159985.SZ,same_etf,False,1
2023-07-19,159985.SZ,159985.SZ,same_etf,False,1
2023-07-20,159985.SZ,159985.SZ,same_etf,False,1
2023-07-21,159985.SZ,159985.SZ,same_etf,False,1
2023-07-24,159985.SZ,159985.SZ,same_etf,False,1
2023-07-25,159985.SZ,159985.SZ,same_etf,False,1
2023-07-26,159985.SZ,159985.SZ,same_etf,False,1
2023-07-27,159985.SZ,159985.SZ,same_etf,False,1
2023-07-28,159985.SZ,159985.SZ,same_etf,False,1
2023-07-31,159985.SZ,159985.SZ,same_etf,False,1
2023-08-01,159985.SZ,159985.SZ,same_etf,False,1
2023-08-02,159985.SZ,159985.SZ,same_etf,False,1
2023-08-03,159985.SZ,159985.SZ,same_etf,False,1
2023-08-04,159985.SZ,159985.SZ,same_etf,False,1
2023-08-07,159985.SZ,159985.SZ,same_etf,False,1
2023-08-08,159985.SZ,159985.SZ,same_etf,False,1
2023-08-09,159985.SZ,159985.SZ,same_etf,False,1
2023-08-10,159985.SZ,159985.SZ,same_etf,False,1
2023-08-11,159985.SZ,159985.SZ,same_etf,False,1
2023-08-14,159985.SZ,159985.SZ,same_etf,False,1
2023-08-15,159985.SZ,159985.SZ,same_etf,False,1
2023-08-16,159985.SZ,159985.SZ,same_etf,False,1
2023-08-17,159985.SZ,159985.SZ,same_etf,False,1
2023-08-18,159985.SZ,159985.SZ,same_etf,False,1
2023-08-21,159985.SZ,159985.SZ,same_etf,False,1
2023-08-22,159985.SZ,159985.SZ,same_etf,False,1
2023-08-23,159985.SZ,159985.SZ,same_etf,False,1
2023-08-24,159985.SZ,159985.SZ,same_etf,False,1
2023-08-25,159985.SZ,159985.SZ,same_etf,False,1
2023-08-28,159985.SZ,159985.SZ,same_etf,False,1
2023-08-29,159985.SZ,159985.SZ,same_etf,False,1
2023-08-30,159985.SZ,159985.SZ,same_etf,False,1
2023-08-31,159985.SZ,159985.SZ,same_etf,False,1
2023-09-01,159985.SZ,159985.SZ,same_etf,False,1
2023-09-04,159985.SZ,159985.SZ,same_etf,False,1
2023-09-05,159985.SZ,159985.SZ,same_etf,False,1
2023-09-06,159985.SZ,159985.SZ,same_etf,False,1
2023-09-07,159985.SZ,159985.SZ,same_etf,False,1
2023-09-08,159985.SZ,159985.SZ,same_etf,False,1
2023-09-11,159985.SZ,159985.SZ,same_etf,False,1
2023-09-12,159985.SZ,159985.SZ,same_etf,False,1
2023-09-13,159985.SZ,159985.SZ,same_etf,False,1
2023-09-14,159985.SZ,159985.SZ,same_etf,False,1
2023-09-15,159985.SZ,159985.SZ,same_etf,False,1
2023-09-18,159985.SZ,159985.SZ,same_etf,False,1
2023-09-19,159985.SZ,159985.SZ,same_etf,False,1
2023-09-20,159985.SZ,159985.SZ,same_etf,False,1
2023-09-21,159985.SZ,159985.SZ,same_etf,False,1
2023-09-22,159985.SZ,159985.SZ,same_etf,False,1
2023-09-25,CASH,CASH,both_cash,False,0
2023-09-26,CASH,CASH,both_cash,False,0
2023-09-27,CASH,CASH,both_cash,False,0
2023-09-28,CASH,CASH,both_cash,False,0
2023-10-09,CASH,CASH,both_cash,False,0
2023-10-10,CASH,CASH,both_cash,False,0
2023-10-11,CASH,CASH,both_cash,False,0
2023-10-12,CASH,CASH,both_cash,False,0
2023-10-13,CASH,CASH,both_cash,False,0
2023-10-16,CASH,CASH,both_cash,False,0
2023-10-17,CASH,CASH,both_cash,False,0
2023-10-18,CASH,CASH,both_cash,False,0
2023-10-19,CASH,CASH,both_cash,False,0
2023-10-20,CASH,CASH,both_cash,False,0
2023-10-23,CASH,CASH,both_cash,False,0
2023-10-24,CASH,CASH,both_cash,False,0
2023-10-25,CASH,CASH,both_cash,False,0
2023-10-26,CASH,CASH,both_cash,False,0
2023-10-27,CASH,CASH,both_cash,False,0
2023-10-30,CASH,CASH,both_cash,False,0
2023-10-31,CASH,CASH,both_cash,False,0
2023-11-01,CASH,CASH,both_cash,False,0
2023-11-02,CASH,CASH,both_cash,False,0
2023-11-03,CASH,CASH,both_cash,False,0
2023-11-06,513200.SH,513200.SH,same_etf,False,1
2023-11-07,513200.SH,513200.SH,same_etf,False,1
