,baseline,rank5_1d,rank5_2d,gap3_1d,gap3_2d,gap5_1d,gap5_2d,gap10_1d,gap10_2d,rank8_gap5_1d,rank8_gap5_2d,top1_gap5_1d,top1_gap5_2d
2024-07-25,172127.3683295895,143496.2851141962,178055.5917355756,141686.7591698453,176858.6121874164,143309.81029110422,176858.6121874164,144713.3875779372,171855.05952494152,164930.18139801268,172127.3683295895,175624.25283402263,172127.3683295895
2024-07-26,169893.44094544437,141497.8794908796,175772.98985419256,139702.4848521784,174585.43117646652,141312.97481285981,174585.43117646652,142703.99093911526,169622.70228586855,162755.91952661076,169893.44094544437,173362.06283857807,169893.44094544437
2024-07-29,170568.9302899196,142050.58027585928,176473.94477711624,140247.43478518783,175281.29087446502,141864.79038882448,175281.29087446502,143261.67366134888,170297.19313365754,163400.5187508762,170568.9302899196,174052.49799481512,170568.9302899196
2024-07-30,168775.87156540304,140689.51920816491,174591.28653859207,138913.57356996002,173416.23254047806,140506.9293037732,173416.23254047806,141882.71651862032,168507.3343917841,161715.9632657289,168775.87156540304,172206.34338618992,168775.87156540304
2024-07-31,168257.0146217936,140335.5374223947,174038.31409867934,138570.01322901135,172869.99212686517,140154.14541652033,172869.99212686517,141521.9027078377,167989.86679263145,161238.5963797234,168257.0146217936,171667.38181090786,168257.0146217936
2024-08-01,168520.71122676073,140555.43459126944,174311.01058777503,138787.11043393498,173140.88863913514,140373.74258925745,173140.88863913514,141743.6998522507,168253.06340403587,161491.29312631115,168520.71122676073,171936.37834763958,168520.71122676073
2024-08-02,167729.60569411455,139895.72997758383,173492.90486630134,138135.8058789957,172328.18295542695,139714.9379818661,172328.18295542695,141078.2951987015,167463.4578818801,160733.18782445416,167729.60569411455,171129.37270379497,167729.60569411455
2024-08-05,166147.41034656702,138576.333857274,171856.70967754058,136833.20970928555,170702.78773490884,138397.34185626337,170702.78773490884,139747.49911191332,165884.2625255111,159216.9922828339,166147.41034656702,169515.3774497552,166147.41034656702
2024-08-06,164565.2149990195,137256.93773696417,170220.51448877982,135530.6135395754,169077.39251439073,137079.74573066065,169077.39251439073,138416.70302512514,164305.06716914207,157700.79674121365,164565.2149990195,167901.38219571544,164565.2149990195
2024-08-07,164828.9116039866,137476.8349058389,170493.2109778755,135747.71074449903,169348.2890266607,137299.34290339777,169348.2890266607,138638.50016953814,164568.2637805465,157953.4934878014,164828.9116039866,168170.37873244716,164828.9116039866
2024-08-08,164318.45103149617,137051.1607310545,169965.3285428427,135327.45670472778,168823.89096413637,136874.24945736476,168823.89096413637,138209.1480459948,164058.77108930837,157464.3263028627,164318.45103149617,167649.6586186818,164318.45103149617
2024-08-09,164323.55075752357,137055.4208680408,169970.58374832215,135331.65464993325,168829.1150737254,136878.47849846064,168829.1150737254,138213.43927887152,164063.87081533577,157469.20835765722,164323.55075752357,167654.85163238042,164323.55075752357
2024-08-12,164342.12993560577,137070.9412789997,169989.7293647605,135346.94848554968,168848.14740249253,136893.8856217483,168848.14740249253,138229.07297750167,164082.44999341798,157486.99452204077,164342.12993560577,167673.7706734763,164342.12993560577
2024-08-13,164347.22966163317,137075.201415986,169994.98457023996,135351.14643075515,168853.37151208156,136898.1146628442,168853.37151208156,138233.36421037838,164087.54971944538,157491.8765768353,164347.22966163317,167678.96368717492,164347.22966163317
2024-08-14,164352.32938766057,137079.4615529723,170000.2397757194,135355.34437596062,168858.5956216706,136902.34370394007,168858.5956216706,138237.6554432551,164092.64944547278,157496.7586316298,164352.32938766057,167684.15670087354,164352.32938766057
2024-08-15,164357.42911368798,137083.7216899586,170005.49498119886,135359.54232116608,168863.81973125963,136906.57274503596,168863.81973125963,138241.9466761318,164097.74917150018,157501.64068642433,164357.42911368798,167689.34971457216,164357.42911368798
