date,price_core,core_plus_weak_edge,core_plus_entry_exceptions,full_strategy
2023-12-26,148820.03016899814,148820.03016899814,148820.03016899814,148820.03016899814
2023-12-27,149471.2314886927,149471.2314886927,149471.2314886927,149471.2314886927
2023-12-28,148982.83777664887,148982.83777664887,148982.83777664887,148982.83777664887
2023-12-29,148820.03016899814,148820.03016899814,148820.03016899814,148820.03016899814
2024-01-02,148331.63645695438,148331.63645695438,148331.63645695438,148331.63645695438
2024-01-03,145889.63878582706,145889.63878582706,145889.63878582706,145889.63878582706
2024-01-04,145238.43746613254,145238.43746613254,145238.43746613254,145238.43746613254
2024-01-05,144092.36010912442,144092.36010912442,144092.36010912442,144092.36010912442
2024-01-08,143661.16198900723,143661.16198900723,143661.16198900723,143661.16198900723
2024-01-09,143630.36422136807,143630.36422136807,143630.36422136807,143630.36422136807
2024-01-10,143075.96034410977,143075.96034410977,143075.96034410977,143075.96034410977
2024-01-11,143075.96034410977,143075.96034410977,143075.96034410977,143075.96034410977
2024-01-12,143537.95623186612,143537.95623186612,143537.95623186612,143537.95623186612
2024-01-15,144226.72613942507,144226.72613942507,144226.72613942507,144369.55470446133
2024-01-16,142978.72361028078,142978.72361028078,142978.72361028078,144492.76046160245
2024-01-17,142822.72561871886,142822.72561871886,142822.72561871886,143075.96034410977
2024-01-18,143134.72160184267,143134.72160184267,143134.72160184267,142613.96445635342
2024-01-19,146566.7239078272,146566.7239078272,146566.7239078272,143445.56292894864
2024-01-22,152026.7187007654,152026.7187007654,152026.7187007654,142891.15905169034
2024-01-23,150154.72420537352,150154.72420537352,150154.72420537352,142619.96331067913
2024-01-24,150934.72346150756,150934.72346150756,150934.72346150756,144169.76388545864
2024-01-25,149686.7209323633,149686.7209323633,149686.7209323633,143480.96248956554
2024-01-26,148126.72242009526,148126.72242009526,148126.72242009526,145086.26707525796
2024-01-29,148019.70415755504,148019.70415755504,148019.70415755504,146383.76583786553
2024-01-30,147713.77750392823,147713.77750392823,147713.77750392823,144826.7704162175
2024-01-31,147713.77750392823,147713.77750392823,147713.77750392823,144826.7704162175
2024-02-01,146919.6719503012,146919.6719503012,146919.6719503012,144048.26497169083
2024-02-02,146919.6719503012,146919.6719503012,146919.6719503012,144048.26497169083
2024-02-05,149037.27624174027,149037.27624174027,149037.27624174027,146124.26917882508
2024-02-06,150360.7749795523,150360.7749795523,150360.7749795523,147421.76794143266
2024-02-07,149037.27624174027,149037.27624174027,149037.27624174027,146124.26917882508
2024-02-08,148243.17068811326,148243.17068811326,148243.17068811326,145345.7637342984
2024-02-19,151684.27371736435,151684.27371736435,151684.27371736435,148719.26670404023
2024-02-20,152213.66690154938,152213.66690154938,152213.66690154938,149238.26002212113
2024-02-21,156713.57207652,156713.57207652,156713.57207652,153649.76509543008
2024-02-22,156978.26866861252,156978.26866861252,156978.26866861252,153909.26175447053
2024-02-23,157507.67763014702,157507.67763014702,157507.67763014702,154428.27053995675
2024-02-26,153537.16563936142,153537.16563936142,153537.16563936142,150535.7587847287
2024-02-27,153801.86223145394,153801.86223145394,153801.86223145394,150795.25544376916
2024-02-28,153537.16563936142,153537.16563936142,153537.16563936142,150535.7587847287
2024-02-29,153801.86223145394,153801.86223145394,153801.86223145394,150795.25544376916
2024-03-01,154066.57460089592,154066.57460089592,154066.57460089592,151054.76757021493
2024-03-04,152478.3634936419,152478.3634936419,152478.3634936419,149497.75668116158
2024-03-05,151882.29280295776,151882.29280295776,151882.29280295776,148911.36984703655
2024-03-06,152006.2637991752,152006.2637991752,152006.2637991752,149035.24755558273
2024-03-07,149007.75946459084,149007.75946459084,149007.75946459084,146106.7067266056
2024-03-08,155358.2504965952,155358.2504965952,155358.2504965952,152333.69793301314
2024-03-11,156335.2524765423,156335.2524765423,156335.2524765423,153291.69987445563
2024-03-12,154869.75678583886,154869.75678583886,154869.75678583886,151854.70409994808
2024-03-13,154869.75678583886,154869.75678583886,154869.75678583886,151854.70409994808
2024-03-14,153404.2610951355,153404.2610951355,153404.2610951355,150417.7083254406
