datetime,v4,formal_f,different
2023-07-13,CASH,159985.SZ,True
2023-07-14,CASH,159985.SZ,True
2023-07-17,CASH,159985.SZ,True
2023-07-18,CASH,159985.SZ,True
2023-07-19,CASH,159985.SZ,True
2023-07-20,CASH,159985.SZ,True
2023-07-21,CASH,159985.SZ,True
2023-07-24,CASH,159985.SZ,True
2023-07-25,CASH,159985.SZ,True
2023-07-26,CASH,159985.SZ,True
2023-07-27,CASH,159985.SZ,True
2023-07-28,CASH,159985.SZ,True
2023-07-31,CASH,159985.SZ,True
2023-08-01,CASH,159985.SZ,True
2023-08-02,CASH,159985.SZ,True
2023-08-03,CASH,159985.SZ,True
2023-08-04,CASH,159985.SZ,True
2023-08-07,CASH,159985.SZ,True
2023-08-08,CASH,159985.SZ,True
2023-08-09,CASH,159985.SZ,True
2023-08-10,CASH,159985.SZ,True
2023-08-11,CASH,159985.SZ,True
2023-08-14,CASH,159985.SZ,True
2023-08-15,CASH,159985.SZ,True
2023-08-16,CASH,159985.SZ,True
2023-08-17,CASH,159985.SZ,True
2023-08-18,CASH,159985.SZ,True
2023-08-21,CASH,159985.SZ,True
2023-08-22,CASH,159985.SZ,True
2023-08-23,CASH,159985.SZ,True
2023-08-24,CASH,159985.SZ,True
2023-08-25,CASH,159985.SZ,True
2023-08-28,CASH,159985.SZ,True
2023-08-29,CASH,159985.SZ,True
2023-08-30,CASH,159985.SZ,True
2023-08-31,CASH,159985.SZ,True
2023-09-01,CASH,159985.SZ,True
2023-09-04,CASH,159985.SZ,True
2023-09-05,CASH,159985.SZ,True
2023-09-06,CASH,159985.SZ,True
2023-09-07,CASH,159985.SZ,True
2023-09-08,CASH,159985.SZ,True
2023-09-11,CASH,159985.SZ,True
2023-09-12,CASH,159985.SZ,True
2023-09-13,CASH,159985.SZ,True
2023-09-14,CASH,159985.SZ,True
2023-09-15,CASH,159985.SZ,True
2023-09-18,CASH,159985.SZ,True
2023-09-19,CASH,159985.SZ,True
2023-09-20,CASH,159985.SZ,True
2023-09-21,CASH,159985.SZ,True
2023-09-22,515220.SH,159985.SZ,True
2023-09-25,515220.SH,CASH,True
2023-09-26,515220.SH,CASH,True
2023-09-27,515220.SH,CASH,True
2023-09-28,515220.SH,CASH,True
2023-10-09,515220.SH,CASH,True
2023-10-10,515220.SH,CASH,True
2023-11-24,CASH,513200.SH,True
2023-11-27,CASH,513310.SH,True
2023-11-28,CASH,513310.SH,True
2023-11-29,CASH,513310.SH,True
2023-11-30,CASH,513310.SH,True
2023-12-01,CASH,513310.SH,True
2023-12-06,CASH,159941.SZ,True
2023-12-07,CASH,159941.SZ,True
2023-12-08,CASH,159941.SZ,True
2023-12-11,CASH,159941.SZ,True
