,equity
2020-10-19,97501.54178275816
2020-10-20,97504.55808412802
2020-10-21,97507.57438549788
2020-10-22,97510.59068686774
2020-10-23,97513.6069882376
2020-10-26,97524.59589234719
2020-10-27,97527.61219371705
2020-10-28,97530.62849508692
2020-10-29,97533.64479645678
2020-10-30,97536.66109782664
2020-11-02,97547.65000193623
2020-11-03,97638.11132614424
2020-11-04,97959.12670090124
2020-11-05,99267.63834891259
2020-11-06,99237.12130987832
2020-11-09,98197.92436564156
2020-11-10,98550.94838335052
2020-11-11,100547.07539538344
2020-11-12,100293.26084397007
2020-11-13,100300.66912276906
2020-11-16,100311.99788989234
2020-11-17,100315.10747893344
2020-11-18,100318.21706797453
2020-11-19,100321.32665701563
2020-11-20,100324.43624605672
2020-11-23,100335.76501318
2020-11-24,100338.8746022211
2020-11-25,100341.98419126219
2020-11-26,100345.09378030329
2020-11-27,100348.20336934438
2020-11-30,100359.53213646766
2020-12-01,100362.64172550876
2020-12-02,100365.75131454985
2020-12-03,100368.86090359095
2020-12-04,100371.97049263204
2020-12-07,100383.29925975532
2020-12-08,100386.40884879642
2020-12-09,100389.51843783751
2020-12-10,100392.6280268786
2020-12-11,100395.7376159197
2020-12-14,100407.06638304298
2020-12-15,100410.17597208408
2020-12-16,100413.28556112517
2020-12-17,100416.39515016627
2020-12-18,100419.50473920736
2020-12-21,100430.83350633064
2020-12-22,100433.94309537174
2020-12-23,100437.05268441283
2020-12-24,100440.16227345393
2020-12-25,100443.27186249502
2020-12-28,100454.6006296183
2020-12-29,100457.7102186594
2020-12-30,100460.81980770049
2020-12-31,100463.92939674159
2021-01-04,100479.36775290596
2021-01-05,100482.47734194706
2021-01-06,100485.58693098815
2021-01-07,100488.69652002925
2021-01-08,100491.80610907034
2021-01-11,100503.13487619362
2021-01-12,100506.24446523472
2021-01-13,100509.35405427581
2021-01-14,100512.4636433169
2021-01-15,100515.573232358
2021-01-18,100526.90199948128
2021-01-19,100530.01158852238
2021-01-20,100533.12117756347
2021-01-21,100536.23076660457
2021-01-22,100539.34035564566
2021-01-25,100550.66912276894
2021-01-26,100553.77871181004
2021-01-27,100556.88830085113
2021-01-28,100559.99788989223
2021-01-29,100563.10747893332
2021-02-01,100574.4362460566
2021-02-02,100577.5458350977
2021-02-03,100580.6554241388
2021-02-04,100583.76501317989
2021-02-05,100586.87460222098
2021-02-08,100598.20336934426
2021-02-09,100601.31295838536
2021-02-10,100604.42254742645
2021-02-18,100636.29925975522
2021-02-19,100639.40884879632
2021-02-22,100650.7376159196
2021-02-23,100653.8472049607
2021-02-24,100656.95679400179
2021-02-25,100660.06638304288
2021-02-26,100663.17597208398
2021-03-01,100674.50473920726
2021-03-02,100677.61432824835
2021-03-03,100680.72391728945
2021-03-04,100683.83350633054
2021-03-05,100686.94309537164
2021-03-08,100698.27186249492
2021-03-09,100701.38145153601
2021-03-10,100704.49104057711
2021-03-11,100707.6006296182
2021-03-12,100710.7102186593
2021-03-15,100722.03898578258
2021-03-16,100725.14857482367
2021-03-17,100728.25816386477
2021-03-18,100731.36775290586
2021-03-19,100734.47734194696
2021-03-22,100745.80610907024
2021-03-23,100748.91569811133
2021-03-24,100752.02528715243
2021-03-25,100926.59958178761
2021-03-26,101507.43612119212
2021-03-29,102124.13166178223
2021-03-30,102792.13301552292
2021-03-31,102663.2449266521
2021-04-01,103028.91350229041
2021-04-02,103217.7855639702
2021-04-06,103233.68707081952
2021-04-07,103236.88994753185
2021-04-08,103240.09282424417
2021-04-09,103000.55910023894
2021-04-12,103143.28285842582
2021-04-13,102902.86599403812
2021-04-14,104057.8509829681
2021-04-15,102962.75083088095
2021-04-16,103695.75013183767
2021-04-19,104135.54446958716
2021-04-20,102669.5458676737
2021-04-21,101936.54656671698
