symbol,entry_date,entry_completed_date,exit_date,exit_completed_date,buy_fill_count,sell_fill_count,quantity,average_buy_price,average_sell_price,buy_cost,sell_proceeds,total_fees,net_pnl,net_return,holding_days,outcome
513500.SH,2024-01-23,2024-01-23,2024-01-26,2024-01-26,1,1,86100.0,1.6554577229499816,1.6605044619560239,142577.6704189772,142926.54334416133,85.65130323612212,348.87292518411414,0.002446897358884703,3,胜
512800.SH,2024-01-26,2024-01-26,2024-03-05,2024-03-05,1,1,259500.0,0.5506600119352342,0.5743099880933762,142939.14197912245,148988.73187765805,87.5789145022273,6049.589898535603,0.04232283624186861,21,胜
515050.SH,2024-03-05,2024-03-07,2024-03-27,2024-03-28,3,2,479000.0,0.31097982333075275,0.30496137737395373,149005.621418757,146032.6768121952,90.10899325507998,-2972.944606561796,-0.01995189562819777,17,负
512400.SH,2024-03-27,2024-03-28,2024-04-17,2024-04-17,2,1,149100.0,0.9786397806558091,1.0527352200031281,145958.96585316988,156915.73245607567,90.86340377947425,10956.766602905787,0.07506744473599491,13,胜
512800.SH,2024-04-17,2024-04-17,2024-04-25,2024-04-25,1,1,265200.0,0.5917092205286026,0.5982811771392822,156968.36166977067,158616.56892688444,94.67563603845693,1648.2072571137687,0.010500251385570758,6,胜
513530.SH,2024-04-25,2024-05-08,2024-06-12,2024-06-14,7,3,148700.0,1.0662706311304293,1.1644728638571062,158605.85244713264,173105.16772109506,103.3567324944775,14499.31527396242,0.09141727780061215,32,胜
159941.SZ,2024-06-12,2024-06-14,2024-07-23,2024-07-23,3,1,160600.0,1.077466730673019,1.1129868561148646,173093.06929317067,178692.06538531964,105.53605381144023,5598.996092148969,0.032346737596210984,29,胜
513500.SH,2024-07-23,2024-07-23,2024-07-26,2024-07-26,1,1,90000.0,1.9843432722687717,1.8958673228263856,178644.4717725407,170576.8706366584,104.76568606756923,-8067.601135882316,-0.04516009398910703,3,负
159611.SZ,2024-07-26,2024-07-29,2024-07-30,2024-07-31,2,2,161600.0,1.0556216990597769,1.0457578030095833,170639.64310803034,168943.76262805876,101.87487826032256,-1695.8804799715872,-0.009938373340935391,3,负
512800.SH,2024-07-30,2024-07-31,2024-08-08,2024-08-08,2,1,263700.0,0.6407190083788253,0.6232512128591537,169008.28979024908,164302.03942750956,99.9926842021365,-4706.25036273952,-0.027846269366906817,7,负
518880.SH,2024-08-19,2024-08-19,2024-09-27,2024-09-27,1,1,29800.0,5.508602254867554,5.744098727607727,164205.59409921165,171122.78984008543,100.59914678332902,6917.19574087378,0.042125213692138175,27,胜
512800.SH,2025-01-03,2025-01-03,2025-02-10,2025-02-10,1,1,236300.0,0.7268712109804154,0.7351168014287949,171811.19505481856,173655.98774757094,103.6403301996889,1844.7926927523804,0.01073732530737459,20,胜
513200.SH,2025-02-12,2025-02-14,2025-03-27,2025-03-27,3,1,243700.0,0.7124370726886861,0.8028265071332454,173677.3145605215,195590.1251424354,115.0945922252404,21912.810581913887,0.12616967643334842,31,胜
518880.SH,2025-03-27,2025-03-27,2025-05-13,2025-05-13,1,1,28700.0,6.805156331253053,7.282250689506531,195366.5791029747,208937.8946104008,121.29257444874,13571.315507426101,0.06946590133142916,29,胜
513200.SH,2025-05-13,2025-05-13,2025-05-28,2025-05-28,1,1,255600.0,0.8182031847000122,0.8706429256796836,209195.4738295259,222469.57090418602,129.50071974391506,13274.097074660123,0.06345307970418723,11,胜
512800.SH,2025-05-28,2025-05-28,2025-07-01,2025-07-01,1,1,276300.0,0.8049648200511933,0.8539740190505981,222478.50331407876,235882.23555724116,137.50944037314747,13403.732243162405,0.06024731398089278,23,胜
515050.SH,2025-07-04,2025-07-07,2025-11-03,2025-11-03,2,1,597100.0,0.39499528406568557,0.6981612009525299,235922.43962085553,416746.99147282896,195.8171211613129,180824.55185197343,0.7664576211680907,80,胜
513500.SH,2025-12-18,2025-12-19,2025-12-23,2025-12-24,2,2,172500.0,2.4187791456138084,2.4555000896298367,417368.32719072007,423446.6933315085,255.99670197645497,6078.366140788421,0.01456355392777775,4,胜
512070.SH,2025-12-25,2025-12-25,2026-01-13,2026-01-13,1,1,456600.0,0.9271111990451812,0.94786120095253,423445.96917607496,432663.58632761874,256.83371935168645,9217.617151543789,0.02176810696646636,11,胜
159611.SZ,2026-03-20,2026-03-20,2026-04-02,2026-04-02,1,1,379200.0,1.1433703598976137,1.0986800238132477,433696.11028531706,416494.47919047455,255.0556516509476,-17201.63109484251,-0.03966286689434684,9,负
515050.SH,2026-04-08,2026-04-09,2026-06-30,2026-06-30,2,1,507900.0,0.8198096994227326,1.3353956123828885,416506.26074070693,678043.9572998103,328.38863335982245,261537.69655910332,0.6279322094558424,55,胜
512010.SH,2026-07-13,2026-07-13,2026-07-14,2026-07-14,1,1,1820100.0,0.3624343885421753,0.3575704102396965,659864.730634789,650618.6595061683,393.1442202788654,-9246.07112862065,-0.014012070503792384,1,负
