datetime,primary,formal_f,different
2020-07-01,512980.SH,CASH,True
2020-07-02,512980.SH,CASH,True
2020-07-03,512980.SH,CASH,True
2020-07-06,512980.SH,CASH,True
2020-07-07,512980.SH,CASH,True
2020-07-08,512980.SH,CASH,True
2020-07-09,512980.SH,CASH,True
2020-07-10,512980.SH,CASH,True
2020-07-13,512980.SH,CASH,True
2020-07-14,512980.SH,CASH,True
2020-07-15,512980.SH,CASH,True
2020-07-16,510880.SH,CASH,True
2020-07-17,510880.SH,CASH,True
2020-07-20,510880.SH,CASH,True
2020-07-21,510880.SH,CASH,True
2020-07-22,510880.SH,CASH,True
2020-07-23,510880.SH,CASH,True
2020-07-24,510880.SH,CASH,True
2020-07-27,510880.SH,CASH,True
2020-07-28,510880.SH,CASH,True
2020-07-29,510880.SH,CASH,True
2020-11-02,CASH,159985.SZ,True
2020-11-03,CASH,159985.SZ,True
2020-11-04,CASH,159985.SZ,True
2020-11-05,CASH,159985.SZ,True
2020-11-06,CASH,159985.SZ,True
2020-11-26,512800.SH,CASH,True
2020-11-27,512800.SH,CASH,True
2020-11-30,512800.SH,CASH,True
2020-12-01,512800.SH,CASH,True
2020-12-02,512800.SH,CASH,True
2020-12-03,512800.SH,CASH,True
2020-12-04,512800.SH,CASH,True
2020-12-07,512800.SH,CASH,True
2020-12-08,512800.SH,CASH,True
2020-12-09,512800.SH,CASH,True
2020-12-10,512800.SH,CASH,True
2020-12-11,512800.SH,CASH,True
2020-12-14,512800.SH,CASH,True
2020-12-15,512800.SH,CASH,True
2020-12-16,512800.SH,CASH,True
2020-12-22,512010.SH,CASH,True
2020-12-23,512010.SH,CASH,True
2020-12-24,512010.SH,CASH,True
2020-12-25,512010.SH,CASH,True
2020-12-28,512010.SH,CASH,True
2020-12-29,512010.SH,CASH,True
2020-12-30,512010.SH,CASH,True
2020-12-31,512010.SH,CASH,True
2021-01-04,512010.SH,CASH,True
2021-01-05,512010.SH,CASH,True
2021-01-06,512010.SH,CASH,True
2021-01-07,512010.SH,CASH,True
2021-01-08,512010.SH,CASH,True
2021-01-11,512010.SH,CASH,True
2021-01-12,512010.SH,CASH,True
2021-01-13,512010.SH,CASH,True
2021-01-14,512010.SH,CASH,True
2021-01-18,515050.SH,CASH,True
2021-01-19,515050.SH,CASH,True
2021-01-20,515050.SH,CASH,True
2021-01-21,515050.SH,CASH,True
2021-01-22,515050.SH,CASH,True
2021-01-25,512800.SH,CASH,True
2021-01-26,512800.SH,CASH,True
2021-01-27,512800.SH,CASH,True
2021-01-28,512800.SH,CASH,True
2021-01-29,512800.SH,CASH,True
2021-02-01,512800.SH,CASH,True
2021-02-02,512800.SH,CASH,True
2021-02-03,512800.SH,CASH,True
2021-02-04,512800.SH,CASH,True
2021-02-05,512800.SH,CASH,True
2021-02-08,512800.SH,CASH,True
2021-02-09,512800.SH,CASH,True
2021-02-10,512800.SH,CASH,True
2021-02-18,512800.SH,CASH,True
2021-02-19,512800.SH,CASH,True
2021-03-24,CASH,513500.SH,True
2021-03-25,CASH,513500.SH,True
2021-03-26,CASH,513500.SH,True
2021-03-29,CASH,513500.SH,True
2021-04-06,513090.SH,CASH,True
2021-04-07,513090.SH,CASH,True
2021-04-08,513090.SH,159941.SZ,True
2021-04-09,513090.SH,159941.SZ,True
2021-04-12,513090.SH,159941.SZ,True
2021-04-13,513090.SH,159941.SZ,True
2021-04-14,513090.SH,159941.SZ,True
2021-04-15,513090.SH,159941.SZ,True
2021-04-16,513090.SH,159941.SZ,True
2021-04-19,513090.SH,159941.SZ,True
2021-04-20,513090.SH,159941.SZ,True
2021-04-21,513090.SH,159941.SZ,True
2021-04-22,513090.SH,CASH,True
2021-05-21,518880.SH,CASH,True
2021-05-24,518880.SH,CASH,True
2021-05-25,518880.SH,CASH,True
2021-05-26,518880.SH,CASH,True
2021-05-27,518880.SH,CASH,True
2021-05-28,518880.SH,CASH,True
2021-05-31,518880.SH,CASH,True
2021-06-01,518880.SH,CASH,True
2021-06-02,518880.SH,CASH,True
2021-06-03,518880.SH,CASH,True
2021-06-04,512760.SH,CASH,True
2021-07-06,CASH,512760.SH,True
2021-07-07,CASH,512760.SH,True
2021-07-08,CASH,512760.SH,True
2021-07-09,CASH,512760.SH,True
2021-07-12,CASH,512760.SH,True
2021-07-13,CASH,512760.SH,True
2021-07-14,CASH,512760.SH,True
2021-07-15,CASH,512760.SH,True
2021-07-16,CASH,512760.SH,True
