variant,date,baseline,alternative
specific_mapping,2024-12-03,159851.SZ,cash
specific_mapping,2024-12-04,159851.SZ,cash
specific_mapping,2024-12-05,159851.SZ,cash
specific_mapping,2024-12-06,159851.SZ,cash
specific_mapping,2024-12-09,159851.SZ,cash
specific_mapping,2024-12-10,159851.SZ,cash
specific_mapping,2025-01-23,512800.SH,513520.SH
specific_mapping,2025-01-24,512800.SH,513520.SH
specific_mapping,2025-01-27,512800.SH,513500.SH
specific_mapping,2025-02-05,512800.SH,513500.SH
specific_mapping,2025-02-06,512800.SH,513500.SH
specific_mapping,2025-02-07,512800.SH,cash
specific_mapping,2025-03-27,518880.SH|513200.SH,513200.SH|512400.SH
specific_mapping,2025-03-28,518880.SH,512400.SH
specific_mapping,2025-03-31,518880.SH,512400.SH
specific_mapping,2025-04-01,518880.SH,512400.SH
specific_mapping,2025-04-02,518880.SH,512400.SH
specific_mapping,2025-04-03,518880.SH,512400.SH
specific_mapping,2025-04-07,518880.SH,cash
specific_mapping,2025-04-08,518880.SH,159985.SZ
specific_mapping,2025-04-09,518880.SH,159985.SZ
specific_mapping,2025-04-10,518880.SH,159985.SZ
specific_mapping,2025-04-11,518880.SH,159985.SZ
specific_mapping,2025-04-14,518880.SH,159985.SZ
specific_mapping,2025-04-15,518880.SH,159985.SZ
specific_mapping,2025-04-16,518880.SH,159985.SZ
specific_mapping,2025-04-17,518880.SH,159865.SZ
specific_mapping,2025-04-18,518880.SH,159865.SZ
specific_mapping,2025-04-21,518880.SH,159865.SZ
specific_mapping,2025-04-22,518880.SH,159865.SZ
specific_mapping,2025-04-23,518880.SH,159865.SZ
specific_mapping,2025-04-24,518880.SH,159865.SZ
specific_mapping,2025-04-25,518880.SH,159865.SZ
specific_mapping,2025-04-28,518880.SH,159865.SZ
specific_mapping,2025-04-29,518880.SH,159865.SZ
specific_mapping,2025-04-30,518880.SH,159865.SZ
specific_mapping,2025-05-06,518880.SH,159865.SZ
specific_mapping,2025-05-07,518880.SH,159865.SZ
specific_mapping,2025-05-08,518880.SH,159865.SZ
specific_mapping,2025-05-09,518880.SH,512660.SH|159865.SZ
specific_mapping,2025-05-12,518880.SH,512660.SH|159865.SZ
specific_mapping,2025-05-13,513200.SH,512660.SH
specific_mapping,2025-05-14,513200.SH,512660.SH
specific_mapping,2025-05-15,513200.SH,512660.SH
specific_mapping,2025-05-16,513200.SH,512660.SH
specific_mapping,2025-05-19,513200.SH,513530.SH
specific_mapping,2025-05-20,513200.SH,513530.SH
specific_mapping,2025-05-21,513200.SH,513530.SH
specific_mapping,2025-05-22,513200.SH,513530.SH
specific_mapping,2025-05-23,513200.SH,513530.SH
specific_mapping,2025-05-26,513200.SH,513530.SH
specific_mapping,2025-05-27,513200.SH,513530.SH
specific_mapping,2025-05-28,513200.SH|512800.SH,513530.SH
specific_mapping,2025-05-29,512800.SH,513530.SH
specific_mapping,2025-05-30,512800.SH,513530.SH
specific_mapping,2025-06-03,512800.SH,513530.SH
specific_mapping,2025-06-04,512800.SH,513530.SH
specific_mapping,2025-06-05,512800.SH,513530.SH
specific_mapping,2025-06-06,512800.SH,513530.SH
specific_mapping,2025-06-09,512800.SH,513530.SH
specific_mapping,2025-06-10,512800.SH,513530.SH
specific_mapping,2025-06-11,512800.SH,513530.SH
specific_mapping,2025-06-12,512800.SH,513530.SH
specific_mapping,2025-06-13,512800.SH,513530.SH
specific_mapping,2025-06-16,512800.SH,513530.SH|512800.SH
specific_mapping,2025-06-17,512800.SH,513530.SH
specific_mapping,2025-06-18,512800.SH,513530.SH
specific_mapping,2025-06-19,512800.SH,513530.SH
specific_mapping,2025-06-20,512800.SH,159869.SZ
specific_mapping,2025-06-23,512800.SH,159869.SZ
specific_mapping,2025-06-24,512800.SH,159869.SZ
specific_mapping,2025-06-25,512800.SH,159869.SZ
specific_mapping,2025-06-26,512800.SH,159869.SZ
specific_mapping,2025-06-27,512800.SH,159869.SZ
specific_mapping,2025-06-30,512800.SH,159869.SZ
specific_mapping,2025-07-01,cash,159869.SZ
specific_mapping,2025-07-02,cash,159869.SZ
specific_mapping,2025-07-03,cash,159869.SZ
specific_mapping,2025-07-04,515050.SH,159869.SZ
specific_mapping,2025-07-07,515050.SH,159869.SZ
specific_mapping,2025-07-08,515050.SH,159869.SZ
specific_mapping,2025-07-09,515050.SH,159869.SZ
specific_mapping,2025-07-10,515050.SH,159869.SZ
specific_mapping,2025-07-11,515050.SH,159869.SZ
specific_mapping,2025-07-14,515050.SH,159869.SZ
specific_mapping,2025-10-20,515050.SH,cash
specific_mapping,2025-10-21,515050.SH,cash
specific_mapping,2025-10-22,515050.SH,cash
specific_mapping,2025-10-23,515050.SH,cash
specific_mapping,2025-10-24,515050.SH,cash
specific_mapping,2025-10-27,515050.SH,cash
specific_mapping,2025-10-28,515050.SH,cash
specific_mapping,2025-10-29,515050.SH,cash
specific_mapping,2025-10-30,515050.SH,cash
specific_mapping,2025-10-31,515050.SH,cash
specific_mapping,2025-11-03,515050.SH,cash
live_schema,2024-01-15,518880.SH,159941.SZ
live_schema,2024-07-31,512800.SH,512760.SH
live_schema,2024-08-01,512800.SH,512760.SH
