date,regime,rows,dde_present
2025-09-12,keyword_proxy,73,73
2025-09-15,keyword_proxy,81,81
2025-09-16,keyword_proxy,88,88
2025-09-17,keyword_proxy,79,79
2025-09-18,keyword_proxy,62,62
2025-09-19,keyword_proxy,59,59
2025-09-22,keyword_proxy,73,73
2025-09-23,keyword_proxy,53,53
2025-09-24,keyword_proxy,87,87
2025-09-25,keyword_proxy,52,52
2025-09-26,keyword_proxy,57,57
2025-09-29,keyword_proxy,66,66
2025-09-30,keyword_proxy,63,63
2025-10-09,keyword_proxy,97,97
2025-10-10,keyword_proxy,69,69
2025-10-13,keyword_proxy,72,72
2025-10-14,keyword_proxy,45,45
2025-10-15,keyword_proxy,82,82
2025-10-16,keyword_proxy,55,55
2025-10-17,keyword_proxy,44,44
2025-10-20,keyword_proxy,94,94
2025-10-21,keyword_proxy,90,90
2025-10-22,keyword_proxy,72,72
2025-10-23,keyword_proxy,72,72
2025-10-24,keyword_proxy,71,71
2025-10-27,keyword_proxy,63,63
2025-10-28,keyword_proxy,70,70
2025-10-29,keyword_proxy,62,62
2025-10-30,keyword_proxy,61,61
2025-10-31,keyword_proxy,76,76
2025-11-03,keyword_proxy,90,90
2025-11-04,keyword_proxy,67,67
2025-11-05,keyword_proxy,82,82
2025-11-06,keyword_proxy,72,72
2025-11-07,keyword_proxy,63,63
2025-11-10,keyword_proxy,92,92
2025-11-11,keyword_proxy,81,81
2025-11-12,keyword_proxy,77,77
2025-11-13,keyword_proxy,104,104
2025-11-14,keyword_proxy,89,89
2025-11-17,keyword_proxy,100,100
2025-11-18,keyword_proxy,18,18
2025-11-19,keyword_proxy,64,64
2025-11-20,keyword_proxy,49,49
2025-11-21,keyword_proxy,33,33
2025-11-24,keyword_proxy,79,79
2025-11-25,keyword_proxy,95,95
2025-11-26,keyword_proxy,76,76
2025-11-27,keyword_proxy,63,63
2025-11-28,keyword_proxy,81,81
2025-12-01,keyword_proxy,75,75
2025-12-02,keyword_proxy,54,54
2025-12-03,keyword_proxy,54,54
2025-12-04,keyword_proxy,39,39
2025-12-05,keyword_proxy,80,80
2025-12-08,keyword_proxy,78,78
2025-12-09,keyword_proxy,54,54
2025-12-10,keyword_proxy,59,59
2025-12-11,keyword_proxy,36,36
2025-12-12,keyword_proxy,82,82
2025-12-15,keyword_proxy,63,63
2025-12-16,keyword_proxy,44,44
2025-12-17,keyword_proxy,57,57
2025-12-18,keyword_proxy,71,71
2025-12-19,keyword_proxy,82,82
2025-12-22,keyword_proxy,104,104
2025-12-23,keyword_proxy,68,68
2025-12-24,keyword_proxy,85,85
2025-12-25,keyword_proxy,92,92
2025-12-26,keyword_proxy,91,91
2025-12-29,keyword_proxy,87,87
2025-12-30,keyword_proxy,65,65
2025-12-31,keyword_proxy,62,62
2026-01-05,keyword_proxy,126,126
2026-01-06,keyword_proxy,140,140
2026-01-07,keyword_proxy,97,97
2026-01-08,keyword_proxy,111,111
2026-01-09,keyword_proxy,107,107
2026-01-12,keyword_proxy,196,196
2026-01-13,keyword_proxy,74,74
2026-01-14,keyword_proxy,107,107
