date,baseline,rank_2d,gap5_2d,combined5_1d,combined5_2d,combined5_3d,combined8_2d,combined10_2d,combined5_roc3_2d
2024-12-02,171692.00197784975,249430.54842923352,216262.6870673776,253564.5894758239,249430.54842923352,174021.89323494464,249430.54842923352,249430.54842923352,244876.31157741768
2024-12-03,171697.31937511003,250362.35494588086,217070.59271751647,254511.69609947348,250362.35494588086,174027.30391987614,250362.35494588086,250362.35494588086,245791.01797447426
2024-12-04,171702.63677237032,246635.16590569683,213839.00222002272,250723.3072392478,246635.16590569683,174032.71460480764,246635.16590569683,246635.16590569683,242132.22873316033
2024-12-05,171707.9541696306,253468.35198376843,219763.59014927153,257668.69308872367,253468.35198376843,174038.12528973914,253468.35198376843,253468.35198376843,248840.01506672127
2024-12-06,171713.27156689088,253157.7559826202,219494.2936164022,257352.99715323592,253157.7559826202,174043.53597467064,253157.7559826202,253157.7559826202,248535.1189921878
2024-12-09,171732.6437586717,247877.54991028973,214916.18835150008,251986.0909811988,247877.54991028973,174063.24802946515,247877.54991028973,247877.54991028973,243351.81303129418
2024-12-10,171737.961155932,252536.56398032376,218955.70055066352,256721.60528226043,252536.56398032376,174068.65871439665,252536.56398032376,252536.56398032376,247925.32684312089
2024-12-11,171743.27855319227,249366.66923432003,216207.30178988178,253499.66139522442,249366.66923432003,174074.06939932815,249366.66923432003,249366.66923432003,244813.60466650614
2024-12-12,171748.59595045255,249374.41211103235,216214.01850221056,253507.5286554984,249374.41211103235,174079.48008425965,249374.41211103235,249374.41211103235,244821.19206376642
2024-12-13,171753.91334771283,249382.15498774467,216220.73521453934,253515.3959157724,249382.15498774467,174084.89076919114,249382.15498774467,249382.15498774467,244828.7794610267
2024-12-16,171773.28553949366,249410.36361788167,216245.20535152563,253544.0576965943,249410.36361788167,174104.60282398565,249410.36361788167,249410.36361788167,244856.4216528075
2024-12-17,171778.60293675394,249418.106494594,216251.9220638544,253551.9249568683,249418.106494594,174110.01350891715,249418.106494594,249418.106494594,244864.00905006778
