symbol,entry_date,entry_completed_date,exit_date,exit_completed_date,buy_fill_count,sell_fill_count,quantity,average_buy_price,average_sell_price,buy_cost,sell_proceeds,total_fees,net_pnl,net_return,holding_days,outcome
512660.SH,2020-05-14,2020-05-15,2020-05-25,2020-05-25,2,1,89800.0,0.8390591037946715,0.8090280023813248,75370.11177301774,72628.91939945881,44.399466640381334,-2741.1923735589226,-0.036369753328935106,7,负
518880.SH,2020-05-25,2020-05-25,2020-05-27,2020-05-27,1,1,18800.0,3.8596260190963747,3.8403860285758973,72582.73744975954,72177.5975600257,43.428067948871615,-405.1398897338513,-0.005581766463606863,2,负
159941.SZ,2020-05-27,2020-05-28,2020-06-01,2020-06-02,2,2,135800.0,0.5319677879284775,0.5289773143139521,72262.89796836746,71813.56874804954,43.22290346535658,-449.3292203179153,-0.006217979529614337,4,负
518880.SH,2020-06-01,2020-06-02,2020-06-05,2020-06-05,2,1,18400.0,3.887550791546055,3.8403860285758973,71552.39384481675,70641.90399491877,42.65821124707317,-910.4898498979746,-0.012724799283063137,4,负
513520.SH,2020-06-05,2020-06-09,2020-06-30,2020-07-03,3,4,64900.0,1.0924455227018504,1.0701551399007598,70920.98433767709,69427.90682378369,46.43167010263407,-1493.0775138933968,-0.02105269022754097,18,负
512980.SH,2020-06-30,2020-07-03,2020-07-21,2020-07-22,4,2,73500.0,0.943130391237752,1.0220129309341535,69345.2262578274,75092.22887934964,50.864046163262365,5747.002621522246,0.08287524508399091,16,胜
512200.SH,2020-07-24,2020-07-24,2020-07-30,2020-07-30,1,1,27800.0,2.6952303121566774,2.638829559993744,74949.88089875902,73337.45392929573,44.48605933373452,-1612.4269694632821,-0.02151340269161095,4,负
512980.SH,2020-07-30,2020-07-31,2020-08-05,2020-08-06,2,2,72800.0,1.0099701192641979,0.9970013242340351,73551.6050888374,72557.84584248644,49.630968155094145,-993.7592463509645,-0.01351104772153755,5,负
518880.SH,2020-08-05,2020-08-06,2020-08-13,2020-08-13,2,1,16800.0,4.308818988118853,4.063118239974975,72411.88209024635,68239.9083156501,44.2012057790985,-4171.973774596248,-0.057614491629933706,6,负
512200.SH,2020-08-17,2020-08-17,2020-08-25,2020-08-25,1,1,24300.0,2.8103683217048654,2.753691569519043,68312.43780249346,66894.63072777096,40.56199660702229,-1417.8070747224992,-0.02075474277205125,6,负
512980.SH,2020-08-25,2020-08-26,2020-09-01,2020-09-02,2,2,65100.0,1.0275634140304706,1.0249820364747728,66914.44656685965,66706.1890165599,40.20987142381715,-208.2575502997497,-0.003112295789395203,6,负
512980.SH,2020-09-03,2020-09-04,2020-09-11,2020-09-14,2,2,64500.0,1.0346354152397776,0.9587241057456187,66754.00447825054,61819.15350914623,38.571506731067416,-4934.850969104315,-0.07392591661991099,7,负
159985.SZ,2020-09-14,2020-09-16,2020-11-10,2020-11-12,3,3,56800.0,1.088378450788075,1.153336188632166,61838.73833577718,65489.02525044252,39.31259487902737,3650.2869146653393,0.05902912984486686,37,胜
512400.SH,2020-12-18,2020-12-22,2020-12-23,2020-12-23,3,1,8600.0,0.9522692589718242,0.9208935909509659,8204.515627157689,7914.684882178307,20.0,-289.83074497938196,-0.03532575939279292,3,负
512170.SH,2020-12-23,2021-01-08,2021-01-11,2021-01-11,12,1,61200.0,0.7776183034303533,0.8190159928560257,47650.24016993762,50108.74162915994,75.03713362883663,2458.501459222316,0.05159473384508506,12,胜
512170.SH,2021-01-19,2021-01-19,2021-01-20,2021-01-20,1,1,26300.0,0.828993609070778,0.8080292152404787,21809.07267813703,21244.79301031634,12.916110083815813,-564.2796678206869,-0.025873620403235265,1,负
512660.SH,2021-01-20,2021-01-26,2021-01-27,2021-01-27,5,1,43700.0,1.3139822378313517,1.2325191676139833,57449.39948233647,53844.92929844365,44.5340153938241,-3604.470183892823,-0.06274165119865283,5,负
513520.SH,2020-11-10,2021-01-18,2020-12-18,2021-01-28,21,23,80900.0,1.2395379897644994,1.2785891408364174,100383.623371948,103322.86149366616,220.0,2939.2381217181683,0.029280056078744066,56,胜
159920.SZ,2021-01-27,2021-01-28,2021-02-25,2021-02-25,2,1,43200.0,1.537231301099945,1.5531339476108554,66431.9968355979,67075.25792082792,43.73324404132366,643.2610852300131,0.009683000901236083,16,胜
512170.SH,2021-02-25,2021-02-25,2021-02-26,2021-02-26,1,1,81400.0,0.8229864267349245,0.7950448038101197,67011.19246476372,64697.2320360347,39.512322649909976,-2313.9604287290204,-0.03453095436177711,1,负
513520.SH,2021-02-26,2021-02-26,2021-03-01,2021-03-01,1,1,5200.0,1.3365990445375442,1.3174332800269126,6955.31503159523,6845.653056139946,10.0,-109.66197545528394,-0.01576664392010041,1,负
513520.SH,2021-03-02,2021-03-02,2021-03-03,2021-03-03,1,1,4800.0,1.3536450239062308,1.3054657152175904,6502.496114749908,6261.235433044434,10.0,-241.26068170547387,-0.03710277983222643,1,负
513500.SH,2021-03-03,2021-03-04,2021-04-20,2021-04-21,2,2,54300.0,1.1853649640336221,1.2740700437080794,64384.627142289784,69161.24877233671,40.06419627611231,4776.621630046924,0.07418885286841226,34,胜
513500.SH,2021-05-07,2021-05-07,2021-05-10,2021-05-10,1,1,18300.0,1.2964910827875136,1.2925008038043975,23732.904551056003,23645.668880207588,14.21356545738959,-87.23567084841488,-0.003675726696694359,1,负
159941.SZ,2021-04-20,2021-04-23,2021-05-07,2021-05-11,4,3,98700.0,0.700188345678279,0.6778750158347981,69134.2804827721,66886.19218367571,45.76264354483252,-2248.0882990963873,-0.032517707328372336,12,负
512400.SH,2021-05-10,2021-05-11,2021-05-21,2021-05-21,2,1,57700.0,1.1563859713554383,1.1016764447689056,66743.48758837295,63547.6608439069,39.08706042311239,-3195.8267444660523,-0.04788222581618262,9,负
518880.SH,2021-05-21,2021-05-21,2021-06-09,2021-06-09,1,1,16600.0,3.815573308849335,3.7734665162086487,63357.51848197703,62620.75230581285,37.79341832878875,-736.7661761641793,-0.01162870948573791,13,负
515030.SH,2021-06-09,2021-06-09,2021-07-30,2021-07-30,1,1,33900.0,1.8552236448764803,2.375146420955658,62910.94918578108,80493.30843129568,43.022863569512836,17582.3592455146,0.2794801139240879,36,胜
512660.SH,2021-07-30,2021-07-30,2021-08-31,2021-08-31,1,1,66700.0,1.2064460429668427,1.3933259809494019,80494.09205120818,92906.96247644631,52.021438198564056,12412.870425238129,0.15420846560194001,22,胜
159941.SZ,2021-08-31,2021-09-07,2021-09-08,2021-09-15,6,6,117700.0,0.7885924625582885,0.77865998273859,92847.33284311056,91617.15856379292,61.12140453912252,-1230.1742793176381,-0.013249430453714073,11,负
512880.SH,2021-09-10,2021-09-15,2021-10-11,2021-10-11,4,1,73600.0,1.2437869584426933,1.1695948038101196,91573.76555853995,86056.35290715667,56.87007042585658,-5517.412651383274,-0.060251018593924566,14,负
512200.SH,2021-10-12,2021-10-13,2021-10-15,2021-10-18,2,2,38200.0,2.250702878532859,2.191393273117405,86002.6430149432,83686.10966617495,50.906421897912026,-2316.533348768251,-0.026935606483230345,4,负
512660.SH,2021-11-11,2021-11-11,2021-11-12,2021-11-12,1,1,20600.0,1.3956728534698486,1.3993188228607178,28759.486039713323,28817.31996060551,17.2730485597229,57.83392089218614,0.002010951127997318,1,胜
513500.SH,2021-10-21,2021-10-22,2021-11-11,2021-11-16,2,4,60900.0,1.374617723002222,1.4051694980612335,83739.33359663458,85544.40417702508,55.53252070328854,1805.0705803905003,0.021555826907882603,18,胜
512980.SH,2021-11-12,2021-11-16,2021-12-07,2021-12-08,3,2,113300.0,0.7561278161334655,0.7382013765892936,85699.72365232655,83609.2346689717,59.42338300016809,-2090.4889833548514,-0.02439318231451615,18,负
512660.SH,2021-12-07,2021-12-08,2021-12-13,2021-12-13,2,1,56800.0,1.4714290944574588,1.4242887990474702,83606.13600689423,80875.33390476054,53.23332284634495,-2730.80210213369,-0.03266269956440171,4,负
515880.SH,2021-12-13,2021-12-14,2021-12-21,2021-12-22,2,2,436200.0,0.18535329252014685,0.18257294426753887,80877.16593895946,79614.2421287838,50.135902388068075,-1262.9238101756637,-0.015615332158508521,7,负
512980.SH,2021-12-21,2021-12-22,2022-01-21,2022-01-21,2,1,99500.0,0.7993238769101618,0.8190159928560257,79556.78089172112,81467.6436617878,48.50276654677367,1910.8627700666839,0.0240188548185154,22,胜
512200.SH,2022-01-21,2022-01-21,2022-02-07,2022-02-07,1,1,35200.0,2.3147744362831117,2.203352889537811,81504.50417521267,77534.75430521743,47.71142456066894,-3969.749869995241,-0.048705895584142844,6,负
159985.SZ,2022-02-07,2022-02-15,2022-04-06,2022-04-07,7,2,54300.0,1.4268906758810713,1.5172985875397538,77515.16370034218,82361.99611648868,62.31718691995621,4846.832416146499,0.06252753893268381,41,胜
512200.SH,2022-04-06,2022-04-07,2022-04-22,2022-04-22,2,1,32200.0,2.5547141356699217,2.1783827942848206,82289.10960356609,70122.88279817844,48.35761278739548,-12166.226805387647,-0.14784735020222417,12,负
518880.SH,2022-04-22,2022-04-22,2022-04-27,2022-04-27,1,1,17700.0,3.945729184722901,3.8943211295127864,69860.35839156623,68908.8051471786,41.6306671685915,-951.5532443876291,-0.013620789619403162,3,负
518880.SH,2022-04-28,2022-04-28,2022-05-16,2022-05-16,1,1,17800.0,3.875645251560211,3.872347693347931,69007.18142341508,68907.11060491069,41.374282325809475,-100.07081850439135,-0.0014501507877908715,9,负
159985.SZ,2022-05-16,2022-05-27,2022-05-25,2022-06-09,4,4,67500.0,1.6284763146878705,1.6315138755932561,109960.15344446129,110091.53166318983,73.6571423849802,131.37821872853965,0.0011947802418710296,17,胜
515030.SH,2022-06-07,2022-06-09,2022-07-07,2022-07-07,3,1,33100.0,2.090741628512011,2.415098382854462,69226.9189434113,79915.77454554095,47.352966605488774,10688.855602129639,0.15440316809227217,22,胜
515790.SH,2022-07-26,2022-07-26,2022-07-27,2022-07-27,1,1,22900.0,1.664995587587357,1.7019551961898804,38139.8374754372,38963.08156055044,23.130951884549617,823.2440851132415,0.021584887078856196,1,胜
