,equity
2020-04-28,78146.72977644815
2020-04-29,79325.7397233652
2020-04-30,80641.40024573277
2020-05-06,80245.08578986835
2020-05-07,79352.288415143
2020-05-08,79501.08649940204
2020-05-11,78905.88529319476
2020-05-12,77864.28983421039
2020-05-13,76673.88742179584
2020-05-14,75428.35615355313
2020-05-15,75410.56961496544
2020-05-18,76577.97064264488
2020-05-19,77206.57325466347
2020-05-20,75141.17308338356
2020-05-21,73883.97321184349
2020-05-22,72806.37102802467
2020-05-25,72644.9535166453
2020-05-26,72983.35140101418
2020-05-27,72103.60455342574
2020-05-28,71460.05546349761
2020-05-29,71052.65261430023
2020-06-01,71896.33355655882
2020-06-02,71829.62746908638
2020-06-03,71185.62588980171
2020-06-04,70578.42603018257
2020-06-05,71121.65190398143
2020-06-08,71212.99019478066
2020-06-09,72050.3478441587
2020-06-10,72634.44419244438
2020-06-11,70557.64772037177
2020-06-12,69584.14864877373
2020-06-15,67572.24747279793
2020-06-16,71076.84877256065
2020-06-17,71076.84877256065
2020-06-18,70427.8493914953
2020-06-19,70752.34908202797
2020-06-22,70557.64772037177
2020-06-23,71011.94573978096
2020-06-24,71011.94573978096
2020-06-29,69584.14864877373
2020-06-30,69953.9620659106
2020-07-01,69756.90190035771
2020-07-02,69926.42160877204
2020-07-03,70360.02530876613
2020-07-06,72638.52664057231
2020-07-07,74696.52643028712
2020-07-08,74770.02986494517
2020-07-09,77783.53049580073
2020-07-10,77710.02706114268
2020-07-13,79327.02376667476
2020-07-14,78739.03133694148
2020-07-15,75578.52383676982
2020-07-16,73153.02877847171
2020-07-17,73667.5309163711
2020-07-20,75211.02418724513
2020-07-21,75198.52044122474
2020-07-22,75186.2563610627
2020-07-23,75186.2563610627
2020-07-24,73517.17318225912
2020-07-27,72210.57509113364
2020-07-28,72683.1739776235
2020-07-29,73989.77869678549
2020-07-30,72031.52917442367
2020-07-31,72822.22430276201
2020-08-03,74132.62478875445
2020-08-04,72822.22430276201
2020-08-05,72817.45918317974
2020-08-06,73298.5908107394
2020-08-07,73718.584402048
2020-08-10,73231.38767048062
2020-08-11,71618.584402048
2020-08-12,67183.38943287075
2020-08-13,68408.0963706522
2020-08-14,68408.0963706522
2020-08-17,68767.45796562733
2020-08-18,68645.96097828448
2020-08-19,67625.3596341759
2020-08-20,66944.95680691302
2020-08-21,67212.2606074959
2020-08-24,67090.7578265816
2020-08-25,67048.53791166087
2020-08-26,66542.94452951179
2020-08-27,66803.3411769651
2020-08-28,67910.04632995353
2020-08-31,66998.64254281746
2020-09-01,66838.16013825004
2020-09-02,66782.03174562995
2020-09-03,66147.19722575374
2020-09-04,66334.02708284341
2020-09-07,64915.029973907105
2020-09-08,65624.52468387567
2020-09-09,63109.0263139435
2020-09-10,61432.02868215524
2020-09-11,61766.198439953965
2020-09-14,61749.37355313331
2020-09-15,61799.23647568249
2020-09-16,60784.44542002701
2020-09-17,60898.04395747208
2020-09-18,62715.64086985611
2020-09-21,62147.641411543125
2020-09-22,61409.24076151871
2020-09-23,61125.24103236222
2020-09-24,61182.043686628575
