date,etfwin 策略,ye 策略
2020-01-23,112988.94064602656,97347.68390040509
2020-02-03,101317.73631748957,97390.56321547358
2020-02-04,101850.05388214081,97393.57951684344
2020-02-05,101929.9979171017,97396.5958182133
2020-02-06,102212.8169903687,97399.61211958317
2020-02-07,102753.07203435931,97402.62842095303
2020-02-10,103340.91939128551,97413.61732506262
2020-02-11,104231.56350619826,97416.63362643248
2020-02-12,105383.34666060958,97419.64992780234
2020-02-13,108737.65978925917,97422.6662291722
2020-02-14,103162.9308198491,97425.68253054206
2020-02-17,103831.2252121875,97436.67143465165
2020-02-18,101468.84604921255,97439.68773602151
2020-02-19,100378.03842058095,97442.70403739138
2020-02-20,101650.64370860967,97445.72033876124
2020-02-21,99469.0392874709,97448.7366401311
2020-02-24,95761.54421113218,97459.72554424069
2020-02-25,96648.18280400209,97462.74184561055
2020-02-26,94015.16502429366,97465.75814698041
2020-02-27,94034.67810948976,97468.77444835028
2020-02-28,87975.88176330217,97471.79074972014
2020-03-02,90458.88376223276,97482.77965382973
2020-03-03,90485.9096292753,97485.79595519959
2020-03-04,90387.50503103923,97488.81225656945
2020-03-05,91123.7179781153,97491.82855793931
2020-03-06,90383.15523812314,97494.84485930917
2020-03-09,85820.35835334798,97505.83376341876
2020-03-10,89864.65573260328,97508.85006478862
2020-03-11,89864.65573260328,97511.86636615849
2020-03-12,87479.55553481122,97514.88266752835
2020-03-13,87479.55553481122,97517.89896889821
2020-03-16,82501.95780941984,97528.8878730078
2020-03-17,81234.4665736748,97531.90417437766
2020-03-18,77952.86603577864,97534.92047574752
2020-03-19,78245.57277264468,97537.93677711739
2020-03-20,78245.57277264468,97540.95307848725
2020-03-23,78245.57277264468,97551.94198259684
2020-03-24,78245.57277264468,97554.9582839667
2020-03-25,78245.57277264468,97557.97458533656
2020-03-26,78245.57277264468,97560.99088670642
2020-03-27,78245.57277264468,97564.00718807628
2020-03-30,78245.57277264468,97574.99609218587
2020-03-31,78193.78101245203,97578.01239355573
2020-04-01,76929.38429728785,97581.0286949256
2020-04-02,76770.50973115777,97584.04499629546
2020-04-03,76770.50973115777,97587.06129766532
2020-04-07,76770.50973115777,97602.03650314477
2020-04-08,76613.73073775183,97605.05280451463
2020-04-09,76802.73205954446,97608.0691058845
2020-04-10,77243.73013693704,97611.08540725436
2020-04-13,77222.73165900125,97622.07431136395
2020-04-14,78104.7278137864,97625.09061273381
2020-04-15,77894.72801405801,97628.10691410367
2020-04-16,78482.7304573716,97631.12321547353
2020-04-17,77201.72817427528,97634.1395168434
2020-04-20,76823.73053748025,97645.12842095298
2020-04-21,77516.73037726295,97648.14472232285
2020-04-22,77306.73057753454,97651.16102369271
2020-04-23,78671.7317791642,97654.17732506257
2020-04-24,79301.73117834938,97657.19362643243
2020-04-27,78713.72873503578,97668.18253054202
2020-04-28,78146.72977644815,97671.19883191188
2020-04-29,79325.7397233652,97674.21513328174
2020-04-30,80641.40024573277,97677.2314346516
2020-05-06,80245.08578986835,97700.17924287078
2020-05-07,79352.288415143,97703.19554424065
2020-05-08,79501.08649940204,97706.21184561051
2020-05-11,78905.88529319476,97717.2007497201
2020-05-12,77864.28983421039,97720.21705108996
2020-05-13,76673.88742179584,97723.23335245982
2020-05-14,75428.35615355313,97726.24965382968
2020-05-15,75410.56961496544,97729.26595519955
2020-05-18,76577.97064264488,97740.25485930913
2020-05-19,77206.57325466347,97743.271160679
2020-05-20,75141.17308338356,97746.28746204886
2020-05-21,73883.97321184349,97749.30376341872
2020-05-22,72806.37102802467,97752.32006478858
2020-05-25,72644.9535166453,97763.30896889817
2020-05-26,72983.35140101418,97766.32527026803
2020-05-27,72103.60455342574,97769.3415716379
2020-05-28,71460.05546349761,97772.35787300776
2020-05-29,71052.65261430023,97775.37417437762
2020-06-01,71896.33355655882,97786.36307848721
2020-06-02,71829.62746908638,97789.37937985707
2020-06-03,71185.62588980171,97792.39568122693
2020-06-04,70578.42603018257,97776.9500472772
2020-06-05,71121.65190398143,97700.44951226591
2020-06-08,71212.99019478066,96300.81171302653
2020-06-09,72050.3478441587,96506.11689038281
2020-06-10,72634.44419244438,97538.15030062717
2020-06-11,70557.64772037177,96656.65114129108
2020-06-12,69584.14864877373,94012.1536632828
2020-06-15,67572.24747279793,91720.25164568942
2020-06-16,71076.84877256065,95775.15198195499
2020-06-17,71076.84877256065,97185.55484021228
2020-06-18,70427.8493914953,97009.25711000484
2020-06-19,70752.34908202797,97714.45853913348
2020-06-22,70557.64772037177,97185.55484021228
2020-06-23,71011.94573978096,97736.20368428002
2020-06-24,71011.94573978096,98111.65783463538
2020-06-29,69584.14864877373,97118.80911210726
2020-06-30,69953.9620659106,97129.87233070342
2020-07-01,69756.90190035771,97132.88863207329
2020-07-02,69926.42160877204,97135.90493344315
2020-07-03,70360.02530876613,97138.92123481301
2020-07-06,72638.52664057231,97149.9101389226
2020-07-07,74696.52643028712,97152.92644029246
2020-07-08,74770.02986494517,97155.94274166232
2020-07-09,77783.53049580073,97158.95904303218
2020-07-10,77710.02706114268,97161.97534440205
2020-07-13,79327.02376667476,97172.96424851163
2020-07-14,78739.03133694148,97175.9805498815
2020-07-15,75578.52383676982,97178.99685125136
2020-07-16,73153.02877847171,97182.01315262122
2020-07-17,73667.5309163711,97185.02945399108
2020-07-20,75211.02418724513,97196.01835810067
2020-07-21,75198.52044122474,97199.03465947053
2020-07-22,75186.2563610627,97202.0509608404
2020-07-23,75186.2563610627,97205.06726221026
2020-07-24,73517.17318225912,97208.08356358012
2020-07-27,72210.57509113364,97219.07246768971
2020-07-28,72683.1739776235,97222.08876905957
2020-07-29,73989.77869678549,97225.10507042943
2020-07-30,72031.52917442367,97228.1213717993
2020-07-31,72822.22430276201,97231.13767316916
2020-08-03,74132.62478875445,97242.12657727874
2020-08-04,72822.22430276201,97245.1428786486
2020-08-05,72817.45918317974,97248.15918001847
2020-08-06,73298.5908107394,97251.17548138833
2020-08-07,73718.584402048,97254.1917827582
2020-08-10,73231.38767048062,97265.18068686778
2020-08-11,71618.584402048,97268.19698823764
2020-08-12,67183.38943287075,97271.2132896075
2020-08-13,68408.0963706522,97274.22959097737
2020-08-14,68408.0963706522,97277.24589234723
2020-08-17,68767.45796562733,97288.23479645682
2020-08-18,68645.96097828448,97291.25109782668
